date,merchant,amount,currency,description
2026-05-05,VISA LIDL SAGT DANKE,-0.74,EUR,MANNHEIM    DE
2026-05-05,VISA SHELL 1514,-68.64,EUR,WAGHAEUSEL  DE
2026-05-05,VISA LIDL SAGT DANKE,-4.28,EUR,MANNHEIM    DE
2026-05-05,PayPal Europe S.a.r.l. et Cie S.C.A,-15.0,EUR,"1050021941023/. Cineplex Deutschland GmbH .amp, Co.KG, Ihr Einkauf beiCineplex Deutschland GmbH .amp, Co.KG"
2026-05-05,DB Vertrieb GmbH,-63.0,EUR,Abo 834349967 zum 01.05.2026
2026-05-04,VISA LIDL SAGT DANKE,-0.74,EUR,MANNHEIM    DE
2026-05-04,VISA MCDONALDS 01850,-51.22,EUR,KRONAU      DE
2026-05-04,VISA REWE WAGHAEUSEL WA,-18.93,EUR,WAGHAEUSEL  DE
2026-05-04,VISA LIDL SAGT DANKE,-1.69,EUR,MANNHEIM    DE
2026-05-04,OHL CONNECT GMBH + CO.KG,-77.94,EUR,4320702281 Abo Warhammer Combat Patrol Premium 62 bis 67
